section id,recording id,fixation id,start timestamp [ns],end timestamp [ns],duration [ms],fixation detected on surface,fixation x [normalized],fixation y [normalized]
f6c5ca9e-dcf0-42f8-84a3-ca8b16bf2cb0,3d36d708-286f-4498-87a1-603f29dfad0e,40,1.67041E+18,1.67041E+18,185,TRUE,0.590864,0.394809
f6c5ca9e-dcf0-42f8-84a3-ca8b16bf2cb0,3d36d708-286f-4498-87a1-603f29dfad0e,41,1.67041E+18,1.67041E+18,159,TRUE,0.533347,0.319149
f6c5ca9e-dcf0-42f8-84a3-ca8b16bf2cb0,3d36d708-286f-4498-87a1-603f29dfad0e,42,1.67041E+18,1.67041E+18,232,TRUE,0.531891,0.018664
f6c5ca9e-dcf0-42f8-84a3-ca8b16bf2cb0,3d36d708-286f-4498-87a1-603f29dfad0e,50,1.67041E+18,1.67041E+18,100,TRUE,0.075943,0.91294
f6c5ca9e-dcf0-42f8-84a3-ca8b16bf2cb0,3d36d708-286f-4498-87a1-603f29dfad0e,51,1.67041E+18,1.67041E+18,203,TRUE,0.312892,0.721383
f6c5ca9e-dcf0-42f8-84a3-ca8b16bf2cb0,3d36d708-286f-4498-87a1-603f29dfad0e,52,1.67041E+18,1.67041E+18,119,TRUE,0.483596,0.558091
f6c5ca9e-dcf0-42f8-84a3-ca8b16bf2cb0,3d36d708-286f-4498-87a1-603f29dfad0e,53,1.67041E+18,1.67041E+18,380,TRUE,0.551526,0.450461
f6c5ca9e-dcf0-42f8-84a3-ca8b16bf2cb0,3d36d708-286f-4498-87a1-603f29dfad0e,54,1.67041E+18,1.67041E+18,123,TRUE,0.247641,0.455564
f6c5ca9e-dcf0-42f8-84a3-ca8b16bf2cb0,3d36d708-286f-4498-87a1-603f29dfad0e,55,1.67041E+18,1.67041E+18,152,TRUE,0.535098,0.381574
f6c5ca9e-dcf0-42f8-84a3-ca8b16bf2cb0,3d36d708-286f-4498-87a1-603f29dfad0e,56,1.67041E+18,1.67041E+18,291,TRUE,0.529854,0.453285
f6c5ca9e-dcf0-42f8-84a3-ca8b16bf2cb0,3d36d708-286f-4498-87a1-603f29dfad0e,57,1.67041E+18,1.67041E+18,331,TRUE,0.52486,0.337303
f6c5ca9e-dcf0-42f8-84a3-ca8b16bf2cb0,3d36d708-286f-4498-87a1-603f29dfad0e,58,1.67041E+18,1.67041E+18,3144,TRUE,0.497382,0.423219
f6c5ca9e-dcf0-42f8-84a3-ca8b16bf2cb0,3d36d708-286f-4498-87a1-603f29dfad0e,59,1.67041E+18,1.67041E+18,1120,TRUE,0.524842,0.444184
f6c5ca9e-dcf0-42f8-84a3-ca8b16bf2cb0,3d36d708-286f-4498-87a1-603f29dfad0e,60,1.67041E+18,1.67041E+18,1180,TRUE,0.655247,0.445818
f6c5ca9e-dcf0-42f8-84a3-ca8b16bf2cb0,3d36d708-286f-4498-87a1-603f29dfad0e,63,1.67041E+18,1.67041E+18,1127,TRUE,0.195438,0.456226
f6c5ca9e-dcf0-42f8-84a3-ca8b16bf2cb0,3d36d708-286f-4498-87a1-603f29dfad0e,64,1.67041E+18,1.67041E+18,1296,TRUE,0.208537,0.496962
f6c5ca9e-dcf0-42f8-84a3-ca8b16bf2cb0,3d36d708-286f-4498-87a1-603f29dfad0e,65,1.67041E+18,1.67041E+18,867,TRUE,0.205808,0.503013
f6c5ca9e-dcf0-42f8-84a3-ca8b16bf2cb0,3d36d708-286f-4498-87a1-603f29dfad0e,66,1.67041E+18,1.67041E+18,100,TRUE,0.50804,0.539323
f6c5ca9e-dcf0-42f8-84a3-ca8b16bf2cb0,3d36d708-286f-4498-87a1-603f29dfad0e,67,1.67041E+18,1.67041E+18,647,TRUE,0.836515,0.631554
f6c5ca9e-dcf0-42f8-84a3-ca8b16bf2cb0,3d36d708-286f-4498-87a1-603f29dfad0e,68,1.67041E+18,1.67041E+18,227,TRUE,0.812802,0.741839
f6c5ca9e-dcf0-42f8-84a3-ca8b16bf2cb0,3d36d708-286f-4498-87a1-603f29dfad0e,69,1.67041E+18,1.67041E+18,603,TRUE,0.562787,0.813305
f6c5ca9e-dcf0-42f8-84a3-ca8b16bf2cb0,3d36d708-286f-4498-87a1-603f29dfad0e,70,1.67041E+18,1.67041E+18,772,TRUE,0.616256,0.826955
f6c5ca9e-dcf0-42f8-84a3-ca8b16bf2cb0,3d36d708-286f-4498-87a1-603f29dfad0e,71,1.67041E+18,1.67041E+18,216,TRUE,0.572136,0.328494
f6c5ca9e-dcf0-42f8-84a3-ca8b16bf2cb0,3d36d708-286f-4498-87a1-603f29dfad0e,72,1.67041E+18,1.67041E+18,96,TRUE,0.673333,0.266542
f6c5ca9e-dcf0-42f8-84a3-ca8b16bf2cb0,3d36d708-286f-4498-87a1-603f29dfad0e,73,1.67041E+18,1.67041E+18,315,TRUE,0.776483,0.274687
f6c5ca9e-dcf0-42f8-84a3-ca8b16bf2cb0,3d36d708-286f-4498-87a1-603f29dfad0e,74,1.67041E+18,1.67041E+18,959,TRUE,0.481871,0.336758
f6c5ca9e-dcf0-42f8-84a3-ca8b16bf2cb0,3d36d708-286f-4498-87a1-603f29dfad0e,75,1.67041E+18,1.67041E+18,360,TRUE,0.550629,0.33807
f6c5ca9e-dcf0-42f8-84a3-ca8b16bf2cb0,3d36d708-286f-4498-87a1-603f29dfad0e,76,1.67041E+18,1.67041E+18,163,TRUE,0.573729,0.135002
f6c5ca9e-dcf0-42f8-84a3-ca8b16bf2cb0,3d36d708-286f-4498-87a1-603f29dfad0e,77,1.67041E+18,1.67041E+18,259,TRUE,0.704567,0.096066
f6c5ca9e-dcf0-42f8-84a3-ca8b16bf2cb0,3d36d708-286f-4498-87a1-603f29dfad0e,78,1.67041E+18,1.67041E+18,132,TRUE,0.597394,0.081555
f6c5ca9e-dcf0-42f8-84a3-ca8b16bf2cb0,3d36d708-286f-4498-87a1-603f29dfad0e,79,1.67041E+18,1.67041E+18,175,TRUE,0.451716,0.076596
f6c5ca9e-dcf0-42f8-84a3-ca8b16bf2cb0,3d36d708-286f-4498-87a1-603f29dfad0e,80,1.67041E+18,1.67041E+18,143,TRUE,0.348665,0.1972
f6c5ca9e-dcf0-42f8-84a3-ca8b16bf2cb0,3d36d708-286f-4498-87a1-603f29dfad0e,81,1.67041E+18,1.67041E+18,140,TRUE,0.322646,0.332131
f6c5ca9e-dcf0-42f8-84a3-ca8b16bf2cb0,3d36d708-286f-4498-87a1-603f29dfad0e,82,1.67041E+18,1.67041E+18,327,TRUE,0.308692,0.530756
f6c5ca9e-dcf0-42f8-84a3-ca8b16bf2cb0,3d36d708-286f-4498-87a1-603f29dfad0e,83,1.67041E+18,1.67041E+18,176,TRUE,0.292181,0.771144
f6c5ca9e-dcf0-42f8-84a3-ca8b16bf2cb0,3d36d708-286f-4498-87a1-603f29dfad0e,84,1.67041E+18,1.67041E+18,111,TRUE,0.776343,0.29312
f6c5ca9e-dcf0-42f8-84a3-ca8b16bf2cb0,3d36d708-286f-4498-87a1-603f29dfad0e,85,1.67041E+18,1.67041E+18,1104,TRUE,0.780129,0.248696
